,sonnet_index,syllables,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,word_list,sonnet_num,author,polarity,subjectivity
103,646,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,"['Cause', 'all', 'I', 'ever', 'want', 'it', 'comes', 'right', 'down', 'to']",646,bsb,0.06507936507936506,0.4123015873015873
104,656,11,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['I', 'can', 'see', 'the', 'edge', 'but', 'I', 'cant', 'take', 'the', 'fall']",656,bsb,0.0,0.0
105,657,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,"['Cause', 'all', 'I', 'ever', 'want', 'it', 'comes', 'right', 'down', 'to']",657,bsb,0.06507936507936506,0.4123015873015873
106,662,11,stress,stress,stress,stress,stress,stress,missing,missing,stress,stress,missing,missing,"['It', 'comes', 'right', 'down', 'to', 'you', '(to', 'you)', 'to', 'you', '(to']",662,bsb,0.06507936507936506,0.4123015873015873
107,666,11,stress,stress,stress,stress,stress,stress,stress,stress,unstress,missing,stress,missing,"['We', 'used', 'to', 'be', 'used', 'to', 'be', 'better', '(Used', 'to']",666,bsb,0.5,0.5
108,669,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['You', 'did', 'it', 'then', 'you', 'do', 'it', 'again', 'now', 'Im']",669,bsb,0.0,0.0
109,670,11,missing,stress,unstress,stress,stress,stress,stress,stress,stress,stress,stress,missing,"['Dont', 'wanna', 'make', 'it', 'real', 'if', 'it', 'not', 'I', 'wish']",670,bsb,0.2,0.30000000000000004
110,671,11,stress,stress,stress,stress,unstress,stress,stress,unstress,stress,stress,stress,missing,"['We', 'used', 'to', 'talk', 'about', 'growing', 'old', 'now', 'I']",671,bsb,0.1,0.2
111,672,11,stress,stress,stress,stress,unstress,stress,stress,stress,stress,stress,stress,missing,"['The', 'more', 'I', 'think', 'about', 'how', 'we', 'were', 'the', 'more']",672,bsb,0.5,0.5
112,675,11,stress,stress,missing,missing,stress,stress,stress,stress,unstress,stress,stress,missing,"['Used', 'to', 'heatin', 'up', 'in', 'the', 'shower', 'at', 'it']",675,bsb,0.0,0.0
113,677,11,stress,stress,stress,stress,stress,stress,stress,unstress,stress,stress,stress,missing,"['You', 'did', 'it', 'then', 'you', 'do', 'it', 'again', 'now', 'Im']",677,bsb,0.0,0.0
